,state,pop_16,pop_10,pop_chg,foreign_born_pct,owner-occ_housing,med_gross_rent,med_hh_income,no_health_ins,women-owned_firms,min-owned_firms,all_firms,women-owned_prop,min-owned_prop
0,Alabama,4863300.0,4780131.0,0.017,0.035,0.687,717.0,43623.0,0.107,137630.0,92219.0,374153.0,0.3678441707002216,0.2464740360226966
1,Alaska,741894.0,710249.0,0.045,0.07400000000000001,0.634,1146.0,72515.0,0.155,22141.0,13688.0,68032.0,0.32544978833490124,0.2011994355597366
2,Arizona,6931071.0,6392301.0,0.084,0.135,0.628,913.0,50255.0,0.11900000000000001,182425.0,135313.0,499926.0,0.36490400579285737,0.27066605857666937
3,Arkansas,2988248.0,2916025.0,0.025,0.047,0.6609999999999999,677.0,41371.0,0.09300000000000001,75962.0,35982.0,231959.0,0.327480287464595,0.15512224143059763
4,California,39250017.0,37254522.0,0.054000000000000006,0.27,0.5429999999999999,1255.0,61818.0,0.083,1320085.0,1619857.0,3548449.0,0.37201746453168694,0.45649719074446327
5,Colorado,5540545.0,5029324.0,0.102,0.098,0.643,1002.0,60629.0,0.086,194508.0,85849.0,547352.0,0.35536181470059486,0.15684422455750596
6,Connecticut,3576452.0,3574114.0,0.001,0.139,0.67,1075.0,70331.0,0.057,106678.0,56113.0,326693.0,0.32653898308197604,0.17176064378483774
7,Delaware,952065.0,897936.0,0.06,0.087,0.7120000000000001,1018.0,60509.0,0.066,23964.0,14440.0,73418.0,0.326404968808739,0.1966820125854695
8,Florida,20612439.0,18804592.0,0.096,0.19699999999999998,0.653,1002.0,47507.0,0.153,807817.0,926112.0,2100187.0,0.3846405105831052,0.4409664472735047
9,Georgia,10310371.0,9688680.0,0.064,0.098,0.633,879.0,49620.0,0.14800000000000002,376506.0,371588.0,929864.0,0.4049043731126272,0.39961542763242797
10,Hawaii,1428557.0,1360301.0,0.05,0.177,0.569,1438.0,69515.0,0.042,44453.0,74208.0,118454.0,0.37527647863305585,0.6264710351697705
11,Idaho,1683140.0,1567650.0,0.07400000000000001,0.061,0.6890000000000001,743.0,47583.0,0.11800000000000001,45121.0,10592.0,146642.0,0.3076949305110405,0.07223032964634961
12,Illinois,12801539.0,12831574.0,-0.002,0.14,0.664,907.0,57574.0,0.07400000000000001,417500.0,311684.0,1135017.0,0.3678359002552385,0.27460734068300297
13,Indiana,6633053.0,6484136.0,0.023,0.048,0.69,745.0,49255.0,0.094,162798.0,61252.0,479059.0,0.33982870585877734,0.12785899022876096
14,Iowa,3134693.0,3046869.0,0.028999999999999998,0.047,0.715,697.0,53183.0,0.05,82345.0,14707.0,259121.0,0.3177858992517009,0.05675726784012102
15,Kansas,2907289.0,2853129.0,0.019,0.069,0.667,757.0,52205.0,0.10099999999999999,77194.0,26127.0,239118.0,0.3228280597863816,0.10926404536672271
16,Kentucky,4436974.0,4339344.0,0.022000000000000002,0.034,0.672,675.0,43740.0,0.06,106011.0,27258.0,331546.0,0.31974748602003944,0.08221483595036586
