,pop_16,pop_10,pop_chg,foreign_born_pct,owner-occ_housing,med_gross_rent,med_hh_income,no_health_ins,women-owned_firms,min-owned_firms,all_firms
Alabama,4863300.0,4780131.0,1.7,3.5,68.7,717.0,43623.0,10.7,137630.0,92219.0,374153.0
Alaska,741894.0,710249.0,4.5,7.4,63.4,1146.0,72515.0,15.5,22141.0,13688.0,68032.0
Arizona,6931071.0,6392301.0,8.4,13.5,62.8,913.0,50255.0,11.9,182425.0,135313.0,499926.0
Arkansas,2988248.0,2916025.0,2.5,4.7,66.1,677.0,41371.0,9.3,75962.0,35982.0,231959.0
California,39250017.0,37254522.0,5.4,27.0,54.3,1255.0,61818.0,8.3,1320085.0,1619857.0,3548449.0
Colorado,5540545.0,5029324.0,10.2,9.8,64.3,1002.0,60629.0,8.6,194508.0,85849.0,547352.0
Connecticut,3576452.0,3574114.0,0.1,13.9,67.0,1075.0,70331.0,5.7,106678.0,56113.0,326693.0
Delaware,952065.0,897936.0,6.0,8.7,71.2,1018.0,60509.0,6.6,23964.0,14440.0,73418.0
Florida,20612439.0,18804592.0,9.6,19.7,65.3,1002.0,47507.0,15.3,807817.0,926112.0,2100187.0
Georgia,10310371.0,9688680.0,6.4,9.8,63.3,879.0,49620.0,14.8,376506.0,371588.0,929864.0
Hawaii,1428557.0,1360301.0,5.0,17.7,56.9,1438.0,69515.0,4.2,44453.0,74208.0,118454.0
Idaho,1683140.0,1567650.0,7.4,6.1,68.9,743.0,47583.0,11.8,45121.0,10592.0,146642.0
Illinois,12801539.0,12831574.0,-0.2,14.0,66.4,907.0,57574.0,7.4,417500.0,311684.0,1135017.0
Indiana,6633053.0,6484136.0,2.3,4.8,69.0,745.0,49255.0,9.4,162798.0,61252.0,479059.0
Iowa,3134693.0,3046869.0,2.9,4.7,71.5,697.0,53183.0,5.0,82345.0,14707.0,259121.0
Kansas,2907289.0,2853129.0,1.9,6.9,66.7,757.0,52205.0,10.1,77194.0,26127.0,239118.0
Kentucky,4436974.0,4339344.0,2.2,3.4,67.2,675.0,43740.0,6.0,106011.0,27258.0,331546.0
Louisiana,4681666.0,4533479.0,3.3,4.0,65.8,788.0,45047.0,11.9,151114.0,126100.0,414291.0
Maine,1331479.0,1328364.0,0.2,3.5,71.2,777.0,49331.0,9.9,42067.0,4339.0,139570.0
Maryland,6016447.0,5773786.0,4.2,14.5,66.8,1230.0,74551.0,7.0,209119.0,203394.0,531953.0
Massachusetts,6811779.0,6547813.0,4.0,15.5,62.1,1102.0,68563.0,2.9,199210.0,89967.0,607664.0
Michigan,9928300.0,9884129.0,0.4,6.3,71.0,783.0,49576.0,6.3,306986.0,158946.0,834087.0
Minnesota,5519952.0,5303924.0,4.1,7.7,71.7,848.0,61492.0,4.8,157821.0,47302.0,489494.0
Mississippi,2988726.0,2968103.0,0.7,2.3,68.4,717.0,39665.0,13.9,89159.0,74824.0,235454.0
Missouri,6093000.0,5988928.0,1.7,3.9,67.2,746.0,48173.0,10.5,162616.0,61035.0,491606.0
Montana,1042520.0,989414.0,5.4,2.1,67.2,711.0,47169.0,9.8,35449.0,5578.0,112419.0
Nebraska,1907116.0,1826334.0,4.4,6.6,66.2,726.0,52997.0,9.9,51936.0,14571.0,164089.0
Nevada,2940058.0,2700691.0,8.9,19.2,55.1,973.0,51847.0,13.1,82508.0,71864.0,227156.0
New Hampshire,1334795.0,1316461.0,1.4,5.7,71.0,1000.0,66779.0,7.1,38525.0,6111.0,131638.0
New Jersey,8944469.0,8791953.0,1.7,21.7,64.5,1192.0,72093.0,9.2,252944.0,237242.0,792088.0
New Mexico,2081015.0,2059198.0,0.011,0.098,0.681,777.0,44963.0,0.108,59044.0,60622.0,151363.0
New York,19745289.0,19378110.0,0.019,0.225,0.536,1132.0,59269.0,0.07,725709.0,709021.0,2008988.0
North Carolina,10146788.0,9535688.0,0.064,0.077,0.651,797.0,46868.0,0.122,287058.0,183380.0,805985.0
North Dakota,757952.0,672591.0,0.127,0.032,0.641,709.0,57181.0,0.081,20316.0,3190.0,68270.0
Ohio,11614373.0,11536727.0,0.007,0.041,0.663,730.0,49429.0,0.066,306824.0,122653.0,904814.0
Oklahoma,3923561.0,3751615.0,0.046,0.058,0.661,727.0,46879.0,0.161,105168.0,64875.0,327229.0
Oregon,4093465.0,3831072.0,0.068,0.099,0.613,907.0,51243.0,0.073,123015.0,41456.0,339305.0
Pennsylvania,12784227.0,12702857.0,0.006,0.063,0.692,840.0,53599.0,0.067,304803.0,131512.0,975453.0
Rhode Island,1056426.0,1052940.0,0.003,0.133,0.601,925.0,56852.0,0.051,30484.0,14737.0,94642.0
South Carolina,4961119.0,4625410.0,0.073,0.048,0.686,790.0,45483.0,0.119,131856.0,83233.0,367726.0
South Dakota,865454.0,814195.0,0.063,0.03,0.681,655.0,50957.0,0.103,23722.0,4101.0,81314.0
Tennessee,6651194.0,6346298.0,0.048,0.048,0.668,764.0,45219.0,0.106,195694.0,105234.0,550453.0
Texas,27862596.0,25146100.0,10.8,16.6,62.2,882.0,53207.0,18.6,866678.0,1070392.0,2356748.0
Utah,3051217.0,2763888.0,10.4,8.4,69.5,887.0,60727.0,9.7,76269.0,24423.0,251419.0
Vermont,624594.0,625741.0,-0.2,4.3,71.0,895.0,55176.0,4.5,23417.0,2354.0,75827.0
Virginia,8411808.0,8001041.0,5.1,11.7,66.2,1116.0,65015.0,10.1,236290.0,185043.0,653193.0
Washington,7288000.0,6724545.0,8.4,13.4,62.5,1014.0,61062.0,6.9,187677.0,92807.0,541522.0
West Virginia,1831102.0,1853011.0,-1.2,1.5,72.5,643.0,41751.0,6.5,39065.0,5777.0,114435.0
Wisconsin,5778708.0,5687289.0,1.6,4.8,67.3,776.0,53357.0,6.2,133859.0,40507.0,432980.0
Wyoming,585501.0,563767.0,3.9,3.6,69.1,789.0,58840.0,13.4,19344.0,4077.0,62427.0
