state,handguns_total,long_guns_total,other_total,totals
Alabama,135207.0,126076.0,467577.0,3643862
Alaska,44639.0,43557.0,13438.0,566738
Arizona,201930.0,130644.0,188299.0,2292122
Arkansas,99117.0,113970.0,107521.0,1651493
California,636552.0,544564.0,1671978.0,10186989
Colorado,270919.0,199100.0,173165.0,3019211
Connecticut,91134.0,33822.0,203402.0,1752430
Delaware,28412.0,24002.0,16900.0,282898
District of Columbia,827.0,54.0,287.0,4129
Florida,786644.0,352478.0,594355.0,7081140
Georgia,230995.0,159447.0,373061.0,3404771
Guam,1327.0,715.0,350.0,10393
Hawaii,26.0,21.0,24447.0,103892
Idaho,56976.0,72061.0,94939.0,947070
Illinois,381246.0,192205.0,2107015.0,8825145
Indiana,298606.0,199550.0,1101187.0,5200644
Iowa,3397.0,39137.0,227745.0,1074865
Kansas,94557.0,85708.0,55636.0,1291389
Kentucky,172524.0,142623.0,6341884.0,19253899
Louisiana,186794.0,163141.0,86732.0,2248251
Maine,52228.0,53332.0,21556.0,619452
Mariana Islands,78.0,27.0,10.0,172
Maryland,62306.0,81580.0,62904.0,1016754
Massachusetts,83064.0,43227.0,176445.0,1342303
Michigan,169403.0,151513.0,432803.0,3164689
Minnesota,136698.0,170321.0,692738.0,3485567
Mississippi,142990.0,121271.0,52091.0,1551485
Missouri,317161.0,247810.0,135209.0,3571539
Montana,46610.0,74819.0,40309.0,855316
Nebraska,2179.0,29777.0,84791.0,530363
Nevada,73806.0,42314.0,60618.0,897936
New Hampshire,76235.0,47197.0,66457.0,888602
New Jersey,74354.0,51107.0,4064.0,647498
New Mexico,86080.0,69661.0,38299.0,975771
New York,156818.0,228054.0,110791.0,2355994
North Carolina,47662.0,223608.0,560900.0,4140364
North Dakota,23209.0,39151.0,25850.0,491630
Ohio,424290.0,270771.0,327596.0,4540388
Oklahoma,195906.0,169633.0,37993.0,2321665
Oregon,199533.0,160739.0,28418.0,1835743
Pennsylvania,696304.0,192820.0,538357.0,6531467
Puerto Rico,16060.0,2896.0,1172.0,104340
Rhode Island,15785.0,10477.0,4934.0,156406
South Carolina,159579.0,107358.0,290965.0,2188793
South Dakota,39780.0,56979.0,34230.0,614918
Tennessee,346417.0,226022.0,386871.0,4028097
Texas,757491.0,604634.0,700093.0,10061752
Utah,57470.0,65213.0,303777.0,2589204
Vermont,20494.0,21366.0,3489.0,230589
Virgin Islands,333.0,80.0,1340.0,7514
Virginia,342420.0,241173.0,39595.0,3056772
Washington,268391.0,192654.0,421089.0,3592654
West Virginia,112071.0,111074.0,56893.0,1526018
Wisconsin,210100.0,191555.0,344604.0,2893768
Wyoming,25725.0,30445.0,14942.0,412983
