Unnamed: 0,state,pop_16,pop_10,pop_chg,foreign_born_pct,owner-occ_housing,med_gross_rent,med_hh_income,no_health_ins,women-owned_firms,min-owned_firms,all_firms,women-owned_prop,min-owned_prop,politics,handguns_total,long_guns_total,other_total,totals,total_NICS_pc,handguns_pc,long_guns_pc,other_pc
0.0,Alabama,4863300.0,4780131.0,0.017,0.035,0.687,717.0,43623.0,0.107,137630.0,92219.0,374153.0,0.3678441707002216,0.2464740360226966,Red,135207.0,126076.0,467577.0,3643862,0.749257088808011,0.02780149281352168,0.02592396109637489,0.09614397631238049
1.0,Alaska,741894.0,710249.0,0.045,0.07400000000000001,0.634,1146.0,72515.0,0.155,22141.0,13688.0,68032.0,0.32544978833490124,0.2011994355597366,Red,44639.0,43557.0,13438.0,566738,0.763906973233373,0.06016897292605143,0.058710543554739626,0.01811309971505363
2.0,Arizona,6931071.0,6392301.0,0.084,0.135,0.628,913.0,50255.0,0.119,182425.0,135313.0,499926.0,0.36490400579285737,0.27066605857666937,Red,201930.0,130644.0,188299.0,2292122,0.3307024267966668,0.02913402560729792,0.018849035019263258,0.02716737427736637
3.0,Arkansas,2988248.0,2916025.0,0.025,0.047,0.6609999999999999,677.0,41371.0,0.093,75962.0,35982.0,231959.0,0.32748028746459495,0.15512224143059766,Red,99117.0,113970.0,107521.0,1651493,0.5526626304108628,0.03316893376988791,0.03813940476158605,0.03598128401658764
4.0,California,39250017.0,37254522.0,0.054000000000000006,0.27,0.5429999999999999,1255.0,61818.0,0.083,1320085.0,1619857.0,3548449.0,0.3720174645316869,0.4564971907444633,Blue,636552.0,544564.0,1671978.0,10186989,0.25954100860644214,0.016217878326014484,0.013874236028993313,0.04259814715494263
5.0,Colorado,5540545.0,5029324.0,0.102,0.098,0.643,1002.0,60629.0,0.086,194508.0,85849.0,547352.0,0.3553618147005949,0.15684422455750596,Blue,270919.0,199100.0,173165.0,3019211,0.5449303272512,0.04889753625320253,0.03593509302785195,0.03125414557593161
6.0,Connecticut,3576452.0,3574114.0,0.001,0.139,0.67,1075.0,70331.0,0.057,106678.0,56113.0,326693.0,0.32653898308197604,0.17176064378483774,Blue,91134.0,33822.0,203402.0,1752430,0.48999119798056845,0.02548167849030268,0.009456858361303324,0.05687256532451715
7.0,Delaware,952065.0,897936.0,0.06,0.087,0.7120000000000001,1018.0,60509.0,0.066,23964.0,14440.0,73418.0,0.326404968808739,0.1966820125854695,Blue,28412.0,24002.0,16900.0,282898,0.2971414766848902,0.029842500249457758,0.025210463571289775,0.017750888857378435
8.0,Florida,20612439.0,18804592.0,0.096,0.197,0.653,1002.0,47507.0,0.153,807817.0,926112.0,2100187.0,0.3846405105831052,0.4409664472735047,Swing,786644.0,352478.0,594355.0,7081140,0.34353722041336304,0.03816355745188621,0.017100256791542232,0.02883477302225127
9.0,Georgia,10310371.0,9688680.0,0.064,0.098,0.633,879.0,49620.0,0.14800000000000002,376506.0,371588.0,929864.0,0.4049043731126272,0.399615427632428,Red,230995.0,159447.0,373061.0,3404771,0.3302277871475236,0.022404140452365873,0.015464719940727642,0.036183082063681316
10.0,Hawaii,1428557.0,1360301.0,0.05,0.177,0.569,1438.0,69515.0,0.042,44453.0,74208.0,118454.0,0.3752764786330559,0.6264710351697705,Blue,26.0,21.0,24447.0,103892,0.07272513452385869,1.82001838218566e-05,1.4700148471499562e-05,0.017113072842035705
11.0,Idaho,1683140.0,1567650.0,0.07400000000000001,0.061,0.6890000000000001,743.0,47583.0,0.118,45121.0,10592.0,146642.0,0.3076949305110405,0.07223032964634961,Red,56976.0,72061.0,94939.0,947070,0.5626804662713737,0.03385101655239612,0.04281343203773899,0.05640588424017016
12.0,Illinois,12801539.0,12831574.0,-0.002,0.14,0.664,907.0,57574.0,0.07400000000000001,417500.0,311684.0,1135017.0,0.3678359002552385,0.27460734068300297,Blue,381246.0,192205.0,2107015.0,8825145,0.6893815657633039,0.029781263018454265,0.015014210400796342,0.16459075740815227
13.0,Indiana,6633053.0,6484136.0,0.023,0.048,0.69,745.0,49255.0,0.094,162798.0,61252.0,479059.0,0.3398287058587773,0.12785899022876096,Red,298606.0,199550.0,1101187.0,5200644,0.7840498183867971,0.045017882414025635,0.03008418596986938,0.1660151064675648
14.0,Iowa,3134693.0,3046869.0,0.029,0.047,0.715,697.0,53183.0,0.05,82345.0,14707.0,259121.0,0.3177858992517009,0.05675726784012103,Swing,3397.0,39137.0,227745.0,1074865,0.3428932275026613,0.001083678688790258,0.012485114172265036,0.07265304768281934
15.0,Kansas,2907289.0,2853129.0,0.019,0.069,0.667,757.0,52205.0,0.101,77194.0,26127.0,239118.0,0.3228280597863816,0.10926404536672273,Red,94557.0,85708.0,55636.0,1291389,0.4441901028759095,0.032524114389728714,0.029480385334928864,0.019136728409181198
17.0,Louisiana,4681666.0,4533479.0,0.033,0.04,0.6579999999999999,788.0,45047.0,0.119,151114.0,126100.0,414291.0,0.36475327728577256,0.3043754269342081,Red,186794.0,163141.0,86732.0,2248251,0.48022456108573314,0.03989904448544599,0.034846783175049224,0.018525883734550906
18.0,Maine,1331479.0,1328364.0,0.002,0.035,0.7120000000000001,777.0,49331.0,0.099,42067.0,4339.0,139570.0,0.3014043132478326,0.031088342767070287,Blue,52228.0,53332.0,21556.0,619452,0.4652360270045566,0.039225552937748175,0.040054706082484216,0.016189515568777277
19.0,Maryland,6016447.0,5773786.0,0.042,0.145,0.6679999999999999,1230.0,74551.0,0.07,209119.0,203394.0,531953.0,0.3931155572014821,0.3823533282075672,Blue,62306.0,81580.0,62904.0,1016754,0.16899575447103582,0.01035594595946744,0.013559497823216925,0.010455340170037233
20.0,Massachusetts,6811779.0,6547813.0,0.04,0.155,0.621,1102.0,68563.0,0.029,199210.0,89967.0,607664.0,0.3278291950814924,0.14805385871139315,Blue,83064.0,43227.0,176445.0,1342303,0.197056158163675,0.012194171302386645,0.006345919325920586,0.025902924918732684
