state,politics
Alabama,Red
Alaska,Red
Arizona,Red
Arkansas,Red
California,Blue
Colorado,Blue
Connecticut,Blue
Delaware,Blue
District of Columbia,Blue
Florida,Swing
Georgia,Red
Hawaii,Blue
Idaho,Red
Illinois,Blue
Indiana,Red
Iowa,Swing
Kansas,Red
Kentucky,Red
Louisiana,Red
Maine,Blue
Maryland,Blue
Massachusetts,Blue
Michigan,Swing
Minnesota,Blue
Mississippi,Red
Missouri,Red
Montana,Red
Nebraska,Red
Nevada,Swing
New Hampshire,Blue
New Jersey,Blue
New Mexico,Blue
New York,Blue
North Carolina,Red
North Dakota,Red
Ohio,Swing
Oklahoma,Red
Oregon,Blue
Pennsylvania,Blue
Rhode Island,Blue
South Carolina,Red
South Dakota,Red
Tennessee,Red
Texas,Red
Utah,Red
Vermont,Blue
Virginia,Blue
Washington,Blue
West Virginia,Red
Wisconsin,Blue
Wyoming,Red
