state,d_month,year,month_only,month,totals,handguns_total,long_guns_total,other_total
Alabama,2017-09-01,2017,09,2017-09,32019,7136,7619,17264
Alaska,2017-09-01,2017,09,2017-09,6303,2570,3140,593
Arizona,2017-09-01,2017,09,2017-09,28394,12670,8717,7007
Arkansas,2017-09-01,2017,09,2017-09,17747,5668,7925,4154
California,2017-09-01,2017,09,2017-09,123506,37700,24978,60828
Colorado,2017-09-01,2017,09,2017-09,35873,15953,13494,6426
Connecticut,2017-09-01,2017,09,2017-09,12117,4834,1993,5290
Delaware,2017-09-01,2017,09,2017-09,3502,1496,1591,415
District of Columbia,2017-09-01,2017,09,2017-09,61,56,4,1
Florida,2017-09-01,2017,09,2017-09,77390,43149,19410,14831
Georgia,2017-09-01,2017,09,2017-09,35371,13008,9470,12893
Guam,2017-09-01,2017,09,2017-09,135,74,48,13
Hawaii,2017-09-01,2017,09,2017-09,948,2,0,946
Idaho,2017-09-01,2017,09,2017-09,14938,3481,5899,5558
Illinois,2017-09-01,2017,09,2017-09,116449,18290,10201,87958
Indiana,2017-09-01,2017,09,2017-09,48524,16488,11980,20056
Iowa,2017-09-01,2017,09,2017-09,9975,181,2700,7094
Kansas,2017-09-01,2017,09,2017-09,12856,5210,5466,2180
Kentucky,2017-09-01,2017,09,2017-09,398706,10067,9454,379185
Louisiana,2017-09-01,2017,09,2017-09,27821,11802,12776,3243
Maine,2017-09-01,2017,09,2017-09,8715,3173,4393,1149
Mariana Islands,2017-09-01,2017,09,2017-09,16,12,3,1
Maryland,2017-09-01,2017,09,2017-09,11255,3526,5101,2628
Massachusetts,2017-09-01,2017,09,2017-09,15460,4821,2851,7788
Michigan,2017-09-01,2017,09,2017-09,36944,8764,11046,17134
Minnesota,2017-09-01,2017,09,2017-09,44552,5069,13215,26268
Mississippi,2017-09-01,2017,09,2017-09,17491,7987,7523,1981
Missouri,2017-09-01,2017,09,2017-09,37571,18889,15841,2841
Montana,2017-09-01,2017,09,2017-09,10283,2899,5940,1444
