totals,totals,totals,totals,totals,totals,totals,totals,totals,totals,totals,totals,totals,totals,totals,totals,totals,totals,totals,totals
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
36568,246756,221911,230187,221008,225479,229997,235873,243176,245355,299432,317868,308607,336102,431356,563880,621305,737509,616947,336763
3985,43073,39959,39959,36793,37059,40504,44514,47037,49604,61729,60780,65909,70198,85342,93405,87623,85621,87647,56902
17453,173548,148263,147582,142260,145719,155719,176649,204178,192071,208721,215379,206050,251477,339663,363036,310672,331442,416279,279553
21752,184616,169628,166062,153424,150249,158366,164001,170129,169824,191799,209842,191448,206228,246193,279736,234282,257346,266014,161694
67445,883144,794506,854569,684390,524431,548843,611022,617820,855943,780398,788164,816399,905701,1132603,1368295,1474616,1761079,2377167,1167528
23798,257308,307512,348696,183754,181257,194191,206287,214749,221737,285521,313641,300820,336296,414838,514658,413284,454062,540514,345559
6870,87209,87586,89689,93598,100567,100916,97599,97616,116112,155885,202454,179595,186068,237496,294338,270297,307750,317692,138789
2135,17594,15347,16619,16388,16361,16424,17121,16698,15912,18102,20530,19240,22490,30724,40062,42950,50416,59430,36826
0,21,17,17,7,11,14,20,252,136,259,369,349,300,449,497,512,742,875,754
32341,279700,266035,303396,288848,298181,318024,370645,411728,426180,503672,556540,559347,643229,834319,1073859,1034546,1147082,1435340,912765
3819,409810,352357,325521,285201,282218,232203,257815,311901,270468,367374,373237,333247,367894,465560,527885,484580,566946,612985,378921
9,170,279,328,304,379,439,408,348,441,447,510,542,511,930,1331,2060,2066,2123,1372
431,5343,6609,7464,7807,7439,7298,7575,7588,6521,8569,10511,10533,12635,17428,17416,15225,15290,16681,9217
7339,79914,77138,75400,74062,74669,75553,80343,91018,93897,100457,99243,92031,106616,136482,147494,131742,136946,156343,131447
41477,484848,449771,462702,446138,515917,590417,527134,527698,536975,615941,752071,695300,828962,1036061,1280613,1344096,1247398,1924070,1163945
22518,203182,182319,195780,188235,183853,176520,172249,185655,186864,219900,273803,345650,359840,475607,597124,647550,1076917,1436725,606881
